,Bathrooms,Bedroom,City,Construction Status,Floor,Locality,Price,Price per sq.ft,Seller,Size,Society,society
0,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('18thof 24floor',)",Raj Nagar Extension,₹ 22.8 L,"2,400 / sq ft",Home Dzire ,"(('950 ', 'Sq. Ft.'),)",Charms India Castle,
1,"('2 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Ready to move',)","('14thof 14floor',)",Raj Nagar Extension,₹ 45 L,"3,529 / sq ft",Easy Homes Properties ,"(('1275 ', 'Sq. Ft.'),)",Ashiana Homes Palm Court,
2,"('2 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Under Construction',)","('19thof 20floor',)",Raj Nagar Extension,₹ 34.2 L,"2,400 / sq ft",India Home Solutions ,"(('1425 ', 'Sq. Ft.'),)",Windsor Infrastructure Paradise 2,
3,"('2 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Ready to move',)","('2ndof 10floor',)",Raj Nagar Extension,₹ 35.5 L,"2,491 / sq ft",Home Dzire ,"(('1425 ', 'Sq. Ft.'),)",Shyam Buildwell Bankey Bihari Sharnam,
4,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Ready to move',)","('7thof 14floor',)",Raj Nagar Extension,₹ 26.99 L,"2,660 / sq ft",Rajnish Sharma ,"(('1015 ', 'Sq. Ft.'),)",SCC Builders Sapphire,
5,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Ready to move',)","('10thof 14floor',)",Raj Nagar Extension,₹ 24.75 L,"3,113 / sq ft",D2d Homes Pvt Ltd ,"(('795 ', 'Sq. Ft.'),)",SCC Builders Sapphire,
6,"('3 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Ready to move',)","('3rdof 12floor',)",Raj Nagar Extension,₹ 36 L,"3,185 / sq ft",Easy Homes Properties ,"(('1130 ', 'Sq. Ft.'),)",SG Impressions 58,
7,"('3 Bathrooms',)",4 BHK Apartment, Ghaziabad,"('Under Construction',)","('14thof 14floor',)",Raj Nagar Extension,₹ 54.85 L,"2,849 / sq ft",India Home Solutions ,"(('1925 ', 'Sq. Ft.'),)",Vasu Infrastructure Fortune Residency,
8,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('9thof 14floor',)",Raj Nagar Extension,₹ 34.08 L,"3,200 / sq ft",Pioneer Infrahome ,"(('1065 ', 'Sq. Ft.'),)",Star Realcon Group Rameshwaram,
9,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('16thof 19floor',)",Raj Nagar Extension,₹ 28.87 L,"2,750 / sq ft",Sunil Verma ,"(('1050 ', 'Sq. Ft.'),)",SG Grand,
10,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('10thof 18floor',)",Raj Nagar Extension,₹ 32.5 L,"2,600 / sq ft",mahesh nim ,"(('1250 ', 'Sq. Ft.'),)",MCC Developers Signature Residency,
11,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('15thof 19floor',)",Raj Nagar Extension,₹ 28.87 L,"2,750 / sq ft",Varsha Chaudhary ,"(('1050 ', 'Sq. Ft.'),)",SG Grand,
12,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('10thof 19floor',)",Raj Nagar Extension,₹ 24 L,"2,608 / sq ft",SAI Solution ,"(('920 ', 'Sq. Ft.'),)",,
13,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Under Construction',)","('9thof 14floor',)",Raj Nagar Extension,₹ 28.5 L,"2,807 / sq ft",PATHAK ASSOCIATES ,"(('1015 ', 'Sq. Ft.'),)",SCC Builders SCC Sapphire,
14,"('3 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Under Construction',)","('13thof 14floor',)",Raj Nagar Extension,₹ 50.84 L,"3,100 / sq ft",AFC Home Solution ,"(('1640 ', 'Sq. Ft.'),)",Uninav Heights,
15,"('3 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Under Construction',)","('22ndof 24floor',)",Raj Nagar Extension,₹ 55.5 L,"3,000 / sq ft",AFC Home Solution ,"(('1850 ', 'Sq. Ft.'),)",Charms India Castle,
16,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Ready to move',)","('10thof 14floor',)",Raj Nagar Extension,₹ 32.5 L,"2,840 / sq ft",Delight Associates ,"(('1144 ', 'Sq. Ft.'),)",Devika Skypers,
17,"('3 Bathrooms',)",3 BHK Apartment, Ghaziabad,"('Ready to move',)","('11thof 11floor',)",Raj Nagar Extension,₹ 50 L,"3,144 / sq ft",Noida Agent ,"(('1590 ', 'Sq. Ft.'),)",SVP Group Gulmohur Garden,
18,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Ready to move',)","('9thof 15floor',)",Raj Nagar Extension,₹ 41 L,"3,178 / sq ft",Shiv Gaura Properties and Associates ,"(('1290 ', 'Sq. Ft.'),)",SVP Group Gulmohur Garden,
19,"('2 Bathrooms',)",2 BHK Apartment, Ghaziabad,"('Ready to move',)","('9thof 16floor',)",Raj Nagar Extension,₹ 25.25 L,"3,156 / sq ft",sunitanimesh ,"(('800 ', 'Sq. Ft.'),)",Star Realcon Group Rameshwaram,
